"","id","k","v"
"13792",1628965,"highway","secondary"
"13793",1628965,"name","Pudsey Road"
"13794",1628965,"oneway","yes"
"13795",1628965,"ref","B6154"
"15603",1709451,"highway","unclassified"
"15604",1709451,"name","Armley Road"
"15605",1709451,"oneway","yes"
"15606",1709456,"highway","tertiary"
"15607",1709456,"lit","yes"
"15608",1709456,"maxspeed","30 mph"
"15609",1709456,"name","Hanover Way"
"15610",1709460,"highway","unclassified"
"15611",1709460,"name","Hyde Place"
"22615",2340822,"footway","no"
"22616",2340822,"highway","trunk"
"22617",2340822,"lanes","2"
"22618",2340822,"lit","yes"
"22619",2340822,"maxspeed","40mph"
"22620",2340822,"oneway","yes"
"22621",2340822,"ref","A650"
"24111",2390554,"bicycle","yes"
"24112",2390554,"foot","yes"
"24113",2390554,"footway","no"
"24114",2390554,"highway","trunk"
"24115",2390554,"horse","yes"
"24116",2390554,"junction","roundabout"
"24117",2390554,"lanes","3"
"24118",2390554,"lit","yes"
"24119",2390554,"maxspeed","40 mph"
"24120",2390554,"name","Armley Gyratory"
"24121",2390554,"oneway","yes"
"24122",2390554,"ref","A58"
"25581",2447290,"bicycle","yes"
"25582",2447290,"foot","yes"
"25583",2447290,"highway","residential"
"25584",2447290,"horse","yes"
"25585",2447290,"name","Park Avenue"
"25586",2447335,"highway","footway"
"25588",2447535,"bicycle","yes"
"25589",2447535,"foot","yes"
"25590",2447535,"footway","no"
"25591",2447535,"highway","trunk"
"25592",2447535,"horse","yes"
"25593",2447535,"lanes","2"
"25594",2447535,"lit","yes"
"25595",2447535,"maxspeed","40 mph"
"25596",2447535,"oneway","yes"
"25597",2447535,"ref","A58"
"28867",2526748,"highway","primary"
"28868",2526748,"lit","yes"
"28869",2526748,"maxspeed","30mph"
"28870",2526748,"name","Hunslet Road"
"28871",2526748,"oneway","yes"
"28872",2526750,"highway","primary"
"28873",2526750,"name","South Accommodation Road"
"28874",2526750,"oneway","yes"
"39500",2954219,"highway","trunk"
"39501",2954219,"junction","roundabout"
"39502",2954219,"maxspeed","40mph"
"39503",2954219,"name","Ring Road"
