"","id","originalTags","name","network","cnRef","sumLengthsKm","rating"
"1",2649,"network=lcn	ref=4	route=bicycle	type=route","Local cycle network 4","lcn","4","1","suggested"
"2",2650,"network=lcn	ref=4A	route=bicycle	type=route","Local cycle network 4A","lcn","4A","3","suggested"
"3",2695,"network=lcn	ref=29	route=bicycle	type=route","Local cycle network 29","lcn","29","7","suggested"
"4",2696,"name=London Cycle Network Route 3	network=lcn	ref=3	route=bicycle	type=route","London Cycle Network Route 3","lcn","3","19","suggested"
"5",2706,"name=London Cycle Network Route 2	network=lcn	ref=2	route=bicycle	type=route","London Cycle Network Route 2","lcn","2","14","suggested"
"6",2707,"type=route	name=London Cycle Network Route 23	network=lcn	ref=23	route=bicycle","London Cycle Network Route 23","lcn","23","27","suggested"
"7",2716,"name=London Cycle Network 5	network=lcn	ref=5	route=bicycle	type=route","London Cycle Network 5","lcn","5","27","suggested"
"8",2722,"name=London Cycle Network Route 25	network=lcn	ref=25	route=bicycle	type=route","London Cycle Network Route 25","lcn","25","10","suggested"
"9",2742,"name=Round the Island Route	network=rcn	ref=67	route=bicycle	type=route","Round the Island Route","rcn","67","12","touring"
"10",2851,"network=rcn	ref=41	route=bicycle	type=route	wikipedia=en:Regional Cycle Route 41","Regional cycle network 41","rcn","41","78","touring"
"11",3131,"mtb:type=crosscountry	name=Mach 2	route=mtb	type=route","Mach 2",NA,NA,"0","neutral"
"12",3132,"mtb:type=crosscountry	name=Mach 3	route=mtb	type=route","Mach 3",NA,NA,"0","neutral"
"13",4067,"route=bicycle	type=route	name=London Cycle Network Route 22	network=lcn	ref=22","London Cycle Network Route 22","lcn","22","32","suggested"
"14",4589,"name=LCN route Sutton - C. Beeches - Wallington - S. Croydon	network=lcn	route=bicycle	type=route","LCN route Sutton - C. Beeches - Wallington - S. Croydon","lcn",NA,"7","suggested"
"15",5070,"network=lcn	ref=28	route=bicycle	type=route","Local cycle network 28","lcn","28","3","suggested"
"16",5292,"description=considered a poor cycle route by some cyclists, and a stand in for completion of NCN 2 to Littlehampton and beyond to Chichester	lcn_ref=S.C.C.R.	name=South Coast Cycle Route	network=lcn	note=may be part of ncn 2, might be ncn 202	route=bicycle	type=route	url=http://www.westsussex.gov.uk/yourcouncil/ppri/cycling_strategy.pdf","South Coast Cycle Route","lcn",NA,"62","suggested"
"17",5662,"name=LCN route Ewell - Belmont - Roundshaw - South Croydon	network=lcn	route=bicycle	type=route","LCN route Ewell - Belmont - Roundshaw - South Croydon","lcn",NA,"9","suggested"
"18",5809,"created_by=JOSM	type=route	name=Worthing to Goring Cycle Route	route=bicycle","Worthing to Goring Cycle Route",NA,NA,"0","neutral"
"19",5879,"network=rcn	ref=42	route=bicycle	type=route","Regional cycle network 42","rcn","42","33","touring"
"20",5881,"ref=89	route=mtb	type=route	designation=National Trail	mtb:type=crosscountry	name=South Downs Way	network=rcn	note=this is the bicycle route, and differs from the walker's route and even horse route in a few places","South Downs Way","rcn","89","155","touring"
"21",7235,"network=lcn	ref=75	route=bicycle	type=route","Local cycle network 75","lcn","75","35","suggested"
"22",8459,"network=lcn	ref=6	route=bicycle	type=route","Local cycle network 6","lcn","6","13","suggested"
"23",8809,"name=NCN Regional Route 16 (Kent)	network=rcn	operator=Sustrans	ref=16	route=bicycle	type=route","NCN Regional Route 16 (Kent)","rcn","16","31","touring"
"24",8811,"name=NCN Regional Route 17 (Kent)	network=rcn	operator=Sustrans	ref=17	route=bicycle	type=route","NCN Regional Route 17 (Kent)","rcn","17","40","touring"
"25",8817,"name=Crab & Winkle Way	route=bicycle	type=route","Crab & Winkle Way",NA,NA,"0","neutral"
"26",8824,"name=NCN Regional Route 15 (Kent)	network=rcn	ref=15	route=bicycle	type=route","NCN Regional Route 15 (Kent)","rcn","15","87","touring"
"27",9327,"network=rcn	operator=National Byway	ref=NB	route=bicycle	type=route	name=National Byway (Yorkshire)","National Byway (Yorkshire)","rcn","NB","287","touring"
"28",9333,"abutters=leisure	name=National Byway (Oakham Loop)	network=rcn	operator=National Byway	ref=NB	route=bicycle	type=route","National Byway (Oakham Loop)","rcn","NB","19","touring"
"29",9341,"alt_ref=73	network=ncn	ref=573	route=bicycle	type=route","National cycle network 573","ncn","573","31","continuous"
"30",9375,"name=Four Castles Cycle Route	network=lcn	route=bicycle	type=route","Four Castles Cycle Route","lcn",NA,"50","suggested"
"31",9487,"name=NCN National Route 65	network=ncn	operator=Sustrans	ref=65	route=bicycle	type=route","NCN National Route 65","ncn","65","213","continuous"
"32",9579,"source=survey	type=route	name=NCN National Route 1	network=ncn	operator=Sustrans	ref=1	route=bicycle","NCN National Route 1","ncn","1","15","continuous"
"33",9936,"name=NCN National Route 60	network=ncn	ref=60	route=bicycle	type=route","NCN National Route 60","ncn","60","21","continuous"
"34",10121,"name=Surrey Cycleway	network=rcn	note=retrieved from v150	route=bicycle	type=route","Surrey Cycleway","rcn",NA,"254","touring"
"35",10898,"network=lcn	ref=74	route=bicycle	type=route","Local cycle network 74","lcn","74","3","suggested"
"36",10902,"created_by=Potlatch 0.10e	network=lcn	ref=75	route=bicycle	type=route","Local cycle network 75","lcn","75","0","suggested"
"37",10903,"network=lcn	ref=31	route=bicycle	type=route","Local cycle network 31","lcn","31","0","suggested"
"38",10907,"network=lcn	ref=33	route=bicycle	type=route","Local cycle network 33","lcn","33","2","suggested"
"39",10963,"route=bicycle	type=route	network=lcn	ref=45","Local cycle network 45","lcn","45","19","suggested"
"40",11017,"name=NCN National Route 7	network=ncn	ref=7	route=bicycle	type=route","NCN National Route 7","ncn","7","915","continuous"
"41",11025,"name=NCN National Route 75	network=ncn	ref=75	route=bicycle	type=route	wikipedia:en=http://en.wikipedia.org/wiki/National_Cycle_Route_75","NCN National Route 75","ncn","75","184","continuous"
"42",11113,"name=Walney to Wear	network=ncn	ref=70	route=bicycle	type=route","Walney to Wear","ncn","70","255","continuous"
"43",11237,"name=Pennine Cycleway	network=ncn	operator=Sustrans	ref=68	route=bicycle	type=route","Pennine Cycleway","ncn","68","518","continuous"
"44",11361,"name=National Cycle Network Route 73	ncn_ref=73	network=ncn	ref=73	route=bicycle	type=route","National Cycle Network Route 73","ncn","73","45","continuous"
"45",12173,"ref=6	route=bicycle	type=route	name=London Cycle Network 6	network=lcn","London Cycle Network 6","lcn","6","9","suggested"
"46",12176,"name=London Cycle Network 0 - Stations Circular	network=lcn	ref=0	route=bicycle	type=route","London Cycle Network 0 - Stations Circular","lcn","0","12","suggested"
"47",12177,"name=London Cycle Network 50	network=lcn	ref=50	route=bicycle	type=route","London Cycle Network 50","lcn","50","11","suggested"
"48",12179,"name=National Cycle Network National Route 20	network=ncn	note=Ref is 20 - I'm one of the Sustrans rangers for this route! Most signs are crap, resigning schedule is dec08/jan09. Retrieved from v166	ref=20	route=bicycle	type=route","National Cycle Network National Route 20","ncn","20","32","continuous"
"49",12180,"network=lcn	ref=37	route=bicycle	type=route","Local cycle network 37","lcn","37","18","suggested"
"50",12461,"name=NCN National Route 6	network=ncn	ref=6	route=bicycle	type=route","NCN National Route 6","ncn","6","659","continuous"
"51",12763,"route=bicycle	type=route	name=NCN 62	network=ncn	ref=62","NCN 62","ncn","62","257","continuous"
"52",13307,"name=London Cycle Network Route 7	network=lcn	ref=7	route=bicycle	type=route","London Cycle Network Route 7","lcn","7","15","suggested"
"53",14644,"created_by=JOSM	name=London Cycle Network Route 23 (Spur)	network=lcn	ref=(23)	route=bicycle	type=route","London Cycle Network Route 23 (Spur)","lcn","(23)","0","suggested"
"54",14670,"network=lcn	ref=88	route=bicycle	type=route","Local cycle network 88","lcn","88","3","suggested"
"55",14671,"network=lcn	ref=79	route=bicycle	type=route","Local cycle network 79","lcn","79","2","suggested"
"56",14675,"network=lcn	ref=55	route=bicycle	type=route","Local cycle network 55","lcn","55","2","suggested"
"57",14676,"network=lcn	ref=8	route=bicycle	type=route","Local cycle network 8","lcn","8","5","suggested"
"58",14677,"type=route	network=lcn	ref=53	route=bicycle","Local cycle network 53","lcn","53","12","suggested"
"59",14870,"network=lcn	ref=18	route=bicycle	type=route","Local cycle network 18","lcn","18","7","suggested"
"60",14907,"network=lcn	note=unnumbered, unnamed but signposted cycle friendly route	ref=7	route=bicycle	type=route","Local cycle network 7","lcn","7","1","suggested"
"61",15020,"name=NCN National Route 51	network=ncn	operator=Sustrans	ref=51	route=bicycle	type=route","NCN National Route 51","ncn","51","328","continuous"
"62",15045,"name=Ashurst	network=lcn	route=bicycle	type=route","Ashurst","lcn",NA,"0","suggested"
"63",15046,"name=Southampton	network=lcn	note=Used for on-road signed but unnumbered cycle routes (coloured blue on the Cycle Map)	route=bicycle	type=route","Southampton","lcn",NA,"10","suggested"
"64",15457,"network=lcn	ref=26	route=bicycle	type=route","Local cycle network 26","lcn","26","3","suggested"
"65",16103,"type=route	network=lcn	ref=2	route=bicycle","Local cycle network 2","lcn","2","5","suggested"
"66",16288,"network=lcn	route=bicycle	type=route","Local cycle network","lcn",NA,"3","suggested"
"67",16377,"distance=60	network=ncn	note=passable on most tyres/bikes	ref=222	route=bicycle	type=route	url=http://en.wikipedia.org/wiki/Downs_Link","National cycle network 222","ncn","222","51","continuous"
"68",16513,"url=http://www.sustrans.org.uk/ncn/map/route/route-77	wikipedia:en=http://en.wikipedia.org/wiki/National_Cycle_Route_77	name=NCN National Route 77	ncn=yes	network=ncn	ref=77	route=bicycle	type=route","NCN National Route 77","ncn","77","79","continuous"
"69",17261,"name=London Cycle Network	network=lcn	ref=87	route=bicycle	type=route","London Cycle Network","lcn","87","11","suggested"
"70",17451,"network=lcn	ref=80	route=bicycle	type=route","Local cycle network 80","lcn","80","3","suggested"
"71",17452,"created_by=Potlatch 0.10e	network=lcn	ref=81	route=bicycle	type=route","Local cycle network 81","lcn","81","3","suggested"
"72",17883,"name=NCN National Route 66	network=ncn	operator=Sustrans	ref=66	route=bicycle	type=route","NCN National Route 66","ncn","66","179","continuous"
"73",18272,"network=ncn	ref=223	route=bicycle	type=route","National cycle network 223","ncn","223","21","continuous"
"74",18775,"network=ncn	ref=46	route=bicycle	state=proposed	type=route","National cycle network 46","ncn","46","30","neutral"
"75",19743,"name=Tarka Trail	network=rcn	route=bicycle	type=route","Tarka Trail","rcn",NA,"7","touring"
"76",21018,"name=Centurion Way	network=rcn	ref=88	route=bicycle	type=route","Centurion Way","rcn","88","9","touring"
"77",21860,"network=lcn	ref=37	route=bicycle	type=route","Local cycle network 37","lcn","37","4","suggested"
"78",21894,"name=Heron Trail	network=ncn	ref=179	route=bicycle	type=route","Heron Trail","ncn","179","21","continuous"
"79",21895,"name=NCN National Route 17	network=ncn	ref=17	route=bicycle	type=route","NCN National Route 17","ncn","17","65","continuous"
"80",21896,"type=route	name=NCN Regional Route 19 (Kent)	network=rcn	ref=19	route=bicycle","NCN Regional Route 19 (Kent)","rcn","19","3","touring"
"81",21897,"name=NCN National Route 18	network=ncn	operator=Sustrans	ref=18	route=bicycle	type=route","NCN National Route 18","ncn","18","116","continuous"
"82",21898,"name=NCN Regional Route 11 (Kent)	network=rcn	ref=11	route=bicycle	type=route","NCN Regional Route 11 (Kent)","rcn","11","24","touring"
"83",21899,"alt_name=The Tudor Trail	name=NCN Regional Route 12 (Kent)	network=rcn	ref=12	route=bicycle	type=route","NCN Regional Route 12 (Kent)","rcn","12","14","touring"
"84",21901,"name=National Cycle Network Regional Route 82 (Brighton & Hove / West Sussex)	network=rcn	ref=82	route=bicycle	type=route","National Cycle Network Regional Route 82 (Brighton & Hove / West Sussex)","rcn","82","16","touring"
"85",21902,"network=rcn	ref=88	route=bicycle	type=route","Regional cycle network 88","rcn","88","10","touring"
"86",21904,"type=route	name=National Cycle Network Regional Route 90 (East Sussex)	network=rcn	ref=90	route=bicycle","National Cycle Network Regional Route 90 (East Sussex)","rcn","90","22","touring"
